Return: 0.7193088531494141ms
s: 0.6496906280517578ms
d: 0.1556873321533203ms
b: 0.33736228942871094ms
g: 0.23102760314941406ms
f: 0.14495849609375ms
h: 0.13899803161621094ms
s: 0.1347064971923828ms
d: 0.09989738464355469ms
j: 0.21982192993164062ms
k: 0.3380775451660156ms
g: 0.8649826049804688ms
b: 0.7226467132568359ms
f: 0.24175643920898438ms
j: 0.4000663757324219ms
k: 0.2613067626953125ms
h: 0.3693103790283203ms
b: 0.9701251983642578ms
n: 0.2918243408203125ms
m: 0.6849765777587891ms
b: 0.782012939453125ms
n: 0.274658203125ms
m: 0.22935867309570312ms
b: 0.6537437438964844ms
v: 3.748178482055664ms
x: 1.138448715209961ms
c: 0.7834434509277344ms
n: 0.8852481842041016ms
m: 0.5769729614257812ms
b: 0.9579658508300781ms
x: 0.8790493011474609ms
c: 0.29158592224121094ms
v: 0.2498626708984375ms
n: 0.3132820129394531ms
m: 0.4024505615234375ms
b: 1.4030933380126953ms
v: 0.5300045013427734ms
b: 0.8249282836914062ms
n: 1.0783672332763672ms
m: 0.3955364227294922ms
v: 0.7245540618896484ms
x: 0.7255077362060547ms
c: 0.3116130828857422ms
n: 0.858306884765625ms
m: 0.35381317138671875ms
b: 0.9558200836181641ms
x: 0.5984306335449219ms
v: 0.46062469482421875ms
c: 0.7162094116210938ms
b: 0.7488727569580078ms
n: 0.45609474182128906ms
v: 0.2472400665283203ms
m: 0.6856918334960938ms
c: 0.9572505950927734ms
n: 0.8637905120849609ms
m: 0.4851818084716797ms
c: 0.7054805755615234ms
j: 0.4363059997558594ms
l: 0.8094310760498047ms
j: 0.47326087951660156ms
s: 0.8175373077392578ms
d: 0.22602081298828125ms
d: 0.5168914794921875ms
h: 0.9334087371826172ms
s: 0.8962154388427734ms
j: 1.4772415161132812ms
k: 0.7429122924804688ms
l: 0.9686946868896484ms
h: 0.4119873046875ms
g: 0.5319118499755859ms
j: 0.4360675811767578ms
k: 0.5800724029541016ms
h: 0.9098052978515625ms
3: 0.6208419799804688ms
g: 0.3647804260253906ms
u: 0.6964206695556641ms
i: 0.2980232238769531ms
h: 0.6623268127441406ms
4: 0.8490085601806641ms
u: 0.6418228149414062ms
i: 0.2562999725341797ms
4: 0.41604042053222656ms
3: 0.9503364562988281ms
2: 0.6682872772216797ms
0: 0.7643699645996094ms
7: 0.8678436279296875ms
8: 0.30350685119628906ms
7: 0.5805492401123047ms
5: 0.2434253692626953ms
8: 0.13136863708496094ms
2: 0.3190040588378906ms
0: 0.6124973297119141ms
5: 0.1876354217529297ms
3: 0.6213188171386719ms
4: 0.14710426330566406ms
8: 0.16808509826660156ms
9: 0.2562999725341797ms
5: 0.743865966796875ms
8: 0.6492137908935547ms
9: 0.4696846008300781ms
4: 0.5340576171875ms
3: 0.6620883941650391ms
5: 0.43702125549316406ms
5: 0.8590221405029297ms
2: 0.8170604705810547ms
5: 0.8172988891601562ms
2: 0.9644031524658203ms
8: 0.4572868347167969ms
9: 0.7636547088623047ms
0: 0.4341602325439453ms
0: 0.35500526428222656ms
8: 0.6847381591796875ms
5: 0.3592967987060547ms
9: 0.2117156982421875ms
0: 1.1785030364990234ms
8: 0.5390644073486328ms
9: 0.1678466796875ms
0: 0.49233436584472656ms
8: 0.10561943054199219ms
9: 0.08511543273925781ms
5: 0.8692741394042969ms
u: 0.8416175842285156ms
h: 0.8466243743896484ms
s: 0.8428096771240234ms
h: 0.7894039154052734ms
s: 0.7448196411132812ms
u: 0.6883144378662109ms
h: 0.8590221405029297ms
u: 0.3368854522705078ms
r: 0.43010711669921875ms
e: 0.9050369262695312ms
i: 5.122900009155273ms
i: 0.42438507080078125ms
h: 0.4417896270751953ms
u: 0.10848045349121094ms
w: 0.17690658569335938ms
r: 0.4050731658935547ms
e: 0.23245811462402344ms
l: 0.8146762847900391ms
w: 0.4177093505859375ms
u: 0.18477439880371094ms
l: 0.5712509155273438ms
h: 0.9374618530273438ms
u: 0.42366981506347656ms
d: 0.9126663208007812ms
f: 0.4801750183105469ms
h: 0.7281303405761719ms
s: 0.4382133483886719ms
j: 0.5102157592773438ms
k: 0.3199577331542969ms
f: 0.29850006103515625ms
d: 0.6170272827148438ms
s: 0.6511211395263672ms
j: 0.17976760864257812ms
k: 0.1251697540283203ms
v: 0.7767677307128906ms
b: 0.5979537963867188ms
n: 0.13971328735351562ms
b: 0.8175373077392578ms
n: 0.30612945556640625ms
v: 0.7116794586181641ms
x: 1.0166168212890625ms
c: 0.8170604705810547ms
b: 0.7734298706054688ms
x: 0.37217140197753906ms
c: 0.10633468627929688ms
v: 0.8614063262939453ms
b: 0.4696846008300781ms
n: 0.24008750915527344ms
m: 0.21505355834960938ms
c: 0.39958953857421875ms
x: 0.4742145538330078ms
v: 0.3273487091064453ms
n: 0.3228187561035156ms
m: 0.6089210510253906ms
c: 0.5245208740234375ms
b: 0.39958953857421875ms
x: 0.6380081176757812ms
v: 0.255584716796875ms
b: 0.7081031799316406ms
n: 0.240325927734375ms
m: 0.179290771484375ms
v: 0.25463104248046875ms
n: 0.46324729919433594ms
m: 0.10395050048828125ms
x: 0.5991458892822266ms
c: 0.37407875061035156ms
b: 0.6284713745117188ms
c: 0.5128383636474609ms
x: 0.7045269012451172ms
s: 0.4394054412841797ms
b: 0.7026195526123047ms
h: 0.35834312438964844ms
j: 0.301361083984375ms
k: 0.38933753967285156ms
s: 0.6856918334960938ms
h: 0.4138946533203125ms
j: 0.3998279571533203ms
k: 0.6611347198486328ms
d: 0.5884170532226562ms
f: 0.362396240234375ms
g: 0.743865966796875ms
d: 0.7548332214355469ms
h: 0.41985511779785156ms
f: 0.3876686096191406ms
h: 0.4343986511230469ms
g: 0.7011890411376953ms
d: 0.3726482391357422ms
f: 0.5826950073242188ms
u: 0.45228004455566406ms
o: 0.7462501525878906ms
s: 0.5393028259277344ms
d: 0.919342041015625ms
f: 0.24080276489257812ms
u: 0.2129077911376953ms
o: 0.24628639221191406ms
s: 0.7464885711669922ms
u: 1.1970996856689453ms
r: 0.9071826934814453ms
u: 0.4744529724121094ms
e: 0.5702972412109375ms
r: 0.5922317504882812ms
8: 0.23603439331054688ms
7: 0.6146430969238281ms
e: 0.5218982696533203ms
6: 0.5743503570556641ms
7: 0.7879734039306641ms
6: 0.7359981536865234ms
0: 0.9512901306152344ms
8: 0.7569789886474609ms
6: 0.8912086486816406ms
2: 0.5564689636230469ms
2: 0.24628639221191406ms
0: 0.640869140625ms
5: 0.7867813110351562ms
3: 0.8108615875244141ms
7: 0.9546279907226562ms
4: 1.1448860168457031ms
6: 0.4780292510986328ms
3: 0.6184577941894531ms
7: 0.9999275207519531ms
4: 0.9896755218505859ms
5: 0.9052753448486328ms
y: 1.0056495666503906ms
y: 0.6628036499023438ms
u: 0.90789794921875ms
w: 0.8881092071533203ms
e: 0.31876564025878906ms
i: 0.8618831634521484ms
i: 0.7269382476806641ms
t: 1.0066032409667969ms
r: 0.4076957702636719ms
u: 0.8242130279541016ms
w: 3.042936325073242ms
e: 0.39649009704589844ms
r: 0.7951259613037109ms
h: 0.4172325134277344ms
t: 0.33164024353027344ms
b: 0.8287429809570312ms
b: 0.38886070251464844ms
h: 0.4150867462158203ms
j: 0.9005069732666016ms
j: 0.8306503295898438ms
b: 0.9229183197021484ms
b: 0.8208751678466797ms
n: 0.9648799896240234ms
m: 0.4031658172607422ms
n: 0.8091926574707031ms
m: 0.3497600555419922ms
m: 1.291513442993164ms
x: 0.6563663482666016ms
n: 0.213623046875ms
c: 0.5450248718261719ms
m: 0.9858608245849609ms
n: 0.43964385986328125ms
x: 0.6263256072998047ms
c: 0.27179718017578125ms
v: 0.33283233642578125ms
b: 0.8282661437988281ms
v: 0.8511543273925781ms
b: 0.7431507110595703ms
x: 0.6299018859863281ms
c: 0.12969970703125ms
v: 0.6208419799804688ms
n: 0.3216266632080078ms
m: 0.3979206085205078ms
x: 0.38695335388183594ms
c: 0.2543926239013672ms
v: 0.23102760314941406ms
n: 0.5528926849365234ms
m: 0.3082752227783203ms
x: 1.7168521881103516ms
c: 0.6990432739257812ms
b: 0.6353855133056641ms
v: 0.38170814514160156ms
x: 0.6780624389648438ms
c: 0.2219676971435547ms
b: 0.3058910369873047ms
v: 0.6840229034423828ms
b: 1.2421607971191406ms
x: 1.0199546813964844ms
c: 0.4177093505859375ms
v: 0.5440711975097656ms
b: 0.36072731018066406ms
v: 0.5009174346923828ms
x: 0.7357597351074219ms
c: 0.3960132598876953ms
n: 0.7071495056152344ms
m: 0.5040168762207031ms
n: 0.7128715515136719ms
m: 0.2608299255371094ms
f: 0.7734298706054688ms
d: 0.8409023284912109ms
h: 0.9789466857910156ms
d: 0.8630752563476562ms
j: 0.7536411285400391ms
f: 0.7841587066650391ms
h: 0.7538795471191406ms
j: 0.7758140563964844ms
a: 0.4341602325439453ms
s: 0.9582042694091797ms
h: 0.47850608825683594ms
a: 0.7281303405761719ms
s: 0.43082237243652344ms
f: 0.9238719940185547ms
h: 0.5660057067871094ms
d: 0.42176246643066406ms
f: 0.16117095947265625ms
j: 0.7472038269042969ms
k: 0.16498565673828125ms
s: 0.15687942504882812ms
j: 0.6194114685058594ms
k: 0.25391578674316406ms
d: 0.6022453308105469ms
s: 0.3731250762939453ms
h: 0.9343624114990234ms
f: 1.1415481567382812ms
s: 7.004499435424805ms
d: 6.131410598754883ms
j: 5.101919174194336ms
h: 0.9980201721191406ms
k: 0.7402896881103516ms
s: 0.8950233459472656ms
d: 0.2751350402832031ms
k: 0.24700164794921875ms
j: 0.5273818969726562ms
h: 0.9791851043701172ms
f: 0.8211135864257812ms
h: 0.8533000946044922ms
w: 0.4699230194091797ms
e: 0.4513263702392578ms
r: 0.4792213439941406ms
u: 0.54931640625ms
i: 0.6918907165527344ms
w: 0.7748603820800781ms
e: 0.2872943878173828ms
r: 0.35190582275390625ms
u: 0.45108795166015625ms
i: 0.10728836059570312ms
w: 0.7550716400146484ms
i: 0.5965232849121094ms
w: 0.7646083831787109ms
o: 0.4565715789794922ms
i: 0.2288818359375ms
t: 0.3349781036376953ms
o: 0.34356117248535156ms
y: 0.5702972412109375ms
t: 0.6718635559082031ms
e: 0.4780292510986328ms
y: 0.286102294921875ms
r: 0.8182525634765625ms
w: 0.3285408020019531ms
r: 0.6864070892333984ms
e: 0.29730796813964844ms
w: 0.6778240203857422ms
y: 0.873565673828125ms
t: 0.7793903350830078ms
y: 0.4372596740722656ms
u: 0.7257461547851562ms
t: 0.8549690246582031ms
u: 0.4298686981201172ms
e: 0.9782314300537109ms
r: 0.4172325134277344ms
o: 0.5996227264404297ms
w: 0.3223419189453125ms
e: 0.43773651123046875ms
r: 0.6916522979736328ms
o: 0.6289482116699219ms
